ITEM NAME,ORDER SIZE,COUNT,PAR SIZED,PAR,NOTES,CATEGORY,SUPPLIER
"Ohio City Pasta Nest","case","1.0","case","2.0","","BAKERY & PASTA","HILLCREST"
"Burger Buns","case","","case","1.0","this is backup buns in freezer","BAKERY & PASTA","HILLCREST"
"Mediterra Burger Buns","case","","case","1.0","only order if hillcrest is out of their backup buns","BAKERY & PASTA","EURO"
"Focaccia","case","","case","1.0","only order if stone oven is sold out","BAKERY & PASTA","EURO"
"Stone Oven Pugliese","loaves","","loaf","6.0","Order is placed already for week of vacation","BAKERY & PASTA","STONE OVEN"
"Stove Oven Burger Buns","dozen","","dozen","6.0","Order is placed already for week of vacation","BAKERY & PASTA","STONE OVEN"
"Stone Oven Focaccia","sheets","","sheet","2.0","Order is placed already for week of vacation","BAKERY & PASTA","STONE OVEN"
"Brie Cheese","wheel","","case","2.0","","DAIRY & CHEESE","HILLCREST"
"Burrata","case","","case","1.0","","DAIRY & CHEESE","HILLCREST"
"Cheddar Jack, Shredded","bag","","bag","2.0","","DAIRY & CHEESE","HILLCREST"
"Cream Cheese","case","","case","0.5","","DAIRY & CHEESE","HILLCREST"
"Easy Melt","case","","case","0.5","","DAIRY & CHEESE","HILLCREST"
"Mozzarella, Shredded","bag","","bag","2.0","","DAIRY & CHEESE","HILLCREST"
"Sour Cream","tub","","container","1.0","","DAIRY & CHEESE","HILLCREST"
"Buttermilk","split","","container","4.0","","DAIRY & CHEESE","HILLCREST"
"Greek Yogurt","container","","container","2.0","","DAIRY & CHEESE","HILLCREST"
"Coopers American","of","","case","3.0","","DAIRY & CHEESE","EUCLID FISH"
"Piave","wheel","","wheel","0.25","","DAIRY & CHEESE","EURO"
"Gorgonzola Dolce","1/4 wheels","","wheel","1.0","","DAIRY & CHEESE","EURO"
"Port Salut","wheel","","wheel","1.0","","DAIRY & CHEESE","EURO"
"Comte","wheel","","wheel","0.25","","DAIRY & CHEESE","EURO"
"Beets, Golden","bag","","bag","0.5","","FRESH PRODUCE","HILLCREST"
"Blueberries","case","","case","0.5","","FRESH PRODUCE","HILLCREST"
"Grapes","split","","bag","2.0","","FRESH PRODUCE","HILLCREST"
"Cilantro","case","","bunches","3.0","","FRESH PRODUCE","HILLCREST"
"Eggplant","case","","case","1.0","","FRESH PRODUCE","HILLCREST"
"Parsley","case","","bunches","3.0","","FRESH PRODUCE","HILLCREST"
"Chives","case","","case","0.5","","FRESH PRODUCE","HILLCREST"
"Rosemary","case","","case","0.5","","FRESH PRODUCE","HILLCREST"
"Jalape̱os","split","1.0","each","12.0","","FRESH PRODUCE","HILLCREST"
"Pickles","bucket","","bucket","1.0","","FRESH PRODUCE","HILLCREST"
"Potatoes","case","","case","5.0","","FRESH PRODUCE","HILLCREST"
"Shallots","tub","1.0","tub","1.0","","FRESH PRODUCE","HILLCREST"
"Cut Brussels Sprouts","case","","case","2.0","","FRESH PRODUCE","HILLCREST"
"Heirloom Tomatoes","case","","case","1.0","","FRESH PRODUCE","HILLCREST"
"Kimchi","case","","case","1.0","","FRESH PRODUCE","HILLCREST"
"Green Tomatoes","flat","","case","0.5","","FRESH PRODUCE","HILLCREST"
"Watermelon","each","","each","1.0","","FRESH PRODUCE","HILLCREST"
"Castelvetrano Olives","case","","bag","2.0","","FRESH PRODUCE","EURO"
"Artisan Lettuce Heads","case","","case","0.5","","FRESH PRODUCE","HAZEROT"
"Brussels","case","","case","1.0","only ordered if hillcrest is out of pre cut brussels","FRESH PRODUCE","HAZEROT"
"Tarragon","case","","case","0.5","","FRESH PRODUCE","HAZEROT"
"Oyster Mushrooms","5 lbs","","case","0.5","Order is placed already for week of vacation","FRESH PRODUCE","STONEY CREEK"
"Shimeji Mushrooms","5 lbs","","case","0.5","Order is placed already for week of vacation","FRESH PRODUCE","STONEY CREEK"
"Boneworks Veal","bucket","","bucket","1.0","","FROZEN & PRE-PREPPED","HILLCREST"
"Puff Pastry","case","","case","0.5","","FROZEN & PRE-PREPPED","HILLCREST"
"Tortilla Chips","case","","case","0.5","","FROZEN & PRE-PREPPED","HILLCREST"
"Frozen Avocado Pulp","case","","case","0.5","","FROZEN & PRE-PREPPED","HILLCREST"
"Corn","case","","case","1.0","","FROZEN & PRE-PREPPED","HILLCREST"
"Naan","case","","case","1.0","","FROZEN & PRE-PREPPED","HILLCREST"
"Biscuits","case","","case","0.5","","FROZEN & PRE-PREPPED","HILLCREST"
"Whole Wheat Wraps","case","","case","0.5","","FROZEN & PRE-PREPPED","HILLCREST"
"English Muffins","case","","case","0.5","","FROZEN & PRE-PREPPED","HILLCREST"
"Granola","case","","case","0.5","","FROZEN & PRE-PREPPED","HILLCREST"
"Sausage, Breakfast","case","","case","1.0","","FROZEN & PRE-PREPPED","HILLCREST"
"Frozen Pear Puree","container","","container","2.0","","FROZEN & PRE-PREPPED","EURO"
"Roasted Tomato","case","","case","1.0","","FROZEN & PRE-PREPPED","HAZEROT"
"Tri Color Diced Sweet Potatoes","case","","case","1.0","","FROZEN & PRE-PREPPED","HAZEROT"
"Prawns","case","","case","1.0","","FROZEN & PRE-PREPPED","MICHAELS MEATS"
"Panko","bag","","bag","0.5","","PANTRY & DRY GOODS","HILLCREST"
"Taco Shells","case","","case","3.0","","PANTRY & DRY GOODS","HILLCREST"
"Passata","case","","case","1.0","","PANTRY & DRY GOODS","HILLCREST"
"Ranch Packets","case","","case","0.5","","PANTRY & DRY GOODS","HILLCREST"
"Volpak Ketchup Bags","case","","case","1.0","","PANTRY & DRY GOODS","HILLCREST"
"Bbq","container","","container","0.5","","PANTRY & DRY GOODS","HILLCREST"
"Crystal Hotsauce","case","","container","1.0","","PANTRY & DRY GOODS","HILLCREST"
"Honey","container","","container","1.0","","PANTRY & DRY GOODS","HILLCREST"
"Mayo","case","","container","2.0","","PANTRY & DRY GOODS","HILLCREST"
"Sesame Oil","container","","container","1.0","","PANTRY & DRY GOODS","HILLCREST"
