Item to Prepare,yes/no/maybe,categories
"Bananas Foster","","Brunch"
"Breakfast Potatoes","","Brunch"
"Brunch Chicken","","Brunch"
"Caramelized Onions","","Brunch"
"French Toast","","Brunch"
"Honey Butter","","Brunch"
"Leeks","","Brunch"
"Mushrooms","","Brunch"
"Zucchini","","Brunch"
"Blanche Fries","","Fryer/Pantry"
"Blanche Wings","","Fryer/Pantry"
"Breaded Eggplant","","Fryer/Pantry"
"Clean Chicken","","Fryer/Pantry"
"Corn Salsa","","Fryer/Pantry"
"Croutons","","Fryer/Pantry"
"Crudites","","Fryer/Pantry"
"Cucumber Salad","","Fryer/Pantry"
"Cure Wings","","Fryer/Pantry"
"Dice Watermelon","","Fryer/Pantry"
"Fried Green Tomato","","Fryer/Pantry"
"Fry Capers","","Fryer/Pantry"
"Hummus","","Fryer/Pantry"
"Marinate Calamari","","Fryer/Pantry"
"Roast Beets","","Fryer/Pantry"
"Whipped Bleu","","Fryer/Pantry"
"Cut Bread","","Grill"
"Focaccia","","Grill"
"Grilled Cheese Comte","","Grill"
"Grilled Cheese Port Salut","","Grill"
"Prep Mushrooms","","Grill"
"Thaw Roasted Tomato","","Grill"
"Bacon Aioli","","Sauces"
"Caesar Dressing","","Sauces"
"Calabrian Butter","","Sauces"
"Dijonaise","","Sauces"
"Garlic Butter","","Sauces"
"Honey","","Sauces"
"Korean Glaze","","Sauces"
"Pear Mostarda","","Sauces"
"Romesco","","Sauces"
"Sriracha Mayo","","Sauces"
"Tamarind Vin","","Sauces"
"Tarragon Viniagrette","","Sauces"
"Brandy Glaze","","Saute"
"Bread Chicken","","Saute"
"Caponoata","","Saute"
"Chop Herbs","","Saute"
"Clean Prawns","","Saute"
"Corn Filling","","Saute"
"Goat Cheese Sauce","","Saute"
"Lemon Ricotta","","Saute"
"Meatballs","","Saute"
"Pappradelle","","Saute"
"Pickle Lemon","","Saute"
"Pomodoro","","Saute"
"Prep Fruit","","Saute"
"Prep Lasagna","","Saute"
"Steak Sauce","","Saute"
"Thaw Octopus","","Saute"
"Thaw Prawns","","Saute"
"Wrap Brie","","Saute"
